track_id,bt_F,bt_AMLt,bt_CMLt,btr_F,category,descriptors,confidence,bt_act_mean,bt_act_max,bt_act_median,bt_act_peak_prominence_mean,bt_act_peak_prominence_std,bt_act_n_peaks,bt_act_periodicity,bt_act_entropy,bt_act_gt_peak_mean,bt_act_gt_peak_std,bt_act_nongt_peak_mean,btr_act_mean,btr_act_max,btr_act_median,btr_act_peak_prominence_mean,btr_act_peak_prominence_std,btr_act_n_peaks,btr_act_periodicity,btr_act_entropy,btr_act_gt_peak_mean,btr_act_gt_peak_std,btr_act_nongt_peak_mean,bt_failure_mode,btr_failure_mode
smc_104,0.6355,0.7273,0.0588,0.3846,other,quiet accompaniment; slow tempo; poor sound quality,1,0.2507,0.9655,0.1516,0.6057,0.2628,93,0.6851,7.1018,0.7785,0.1546,0.6783,0.0578,0.5254,0.0239,0.2492,0.1119,26,0.5111,6.7586,0.1635,0.1300,0.2165,,
smc_105,0.2569,0.2703,0.0000,0.1622,total_failure,expressive timing; low familiarity,4,0.1008,0.9966,0.0210,0.3932,0.3211,72,0.1546,6.5387,0.1993,0.2846,0.7897,0.0690,0.6981,0.0257,0.2787,0.1943,37,0.2947,6.6460,0.1106,0.1411,0.3954,wrong_peaks,wrong_peaks
smc_106,0.3551,0.5352,0.0000,0.5833,other,beat phase ambiguity,1,0.1593,1.0000,0.0002,0.8477,0.3012,95,0.7013,6.0821,0.5700,0.4552,0.9774,0.0699,0.7147,0.0157,0.3041,0.1946,52,0.4480,6.4221,0.3400,0.2296,0.4532,,
smc_109,0.4068,0.1375,0.0500,0.6076,other,slow tempo; lack of transient sounds; gradual tempo change; ternary meter,1,0.3205,0.9705,0.2559,0.5060,0.3259,116,0.5832,7.2453,0.6942,0.2723,0.7517,0.0595,0.7095,0.0196,0.2580,0.1600,23,0.5232,6.5823,0.2796,0.1953,0.2483,,
smc_111,0.4706,0.1875,0.1875,0.4651,other,expressive timing; ternary,2,0.1368,0.9959,0.0467,0.4370,0.3152,69,0.3118,6.7970,0.5062,0.3161,0.7407,0.0640,0.6280,0.0192,0.3052,0.1658,37,0.1734,6.5453,0.3357,0.1799,0.1889,,
smc_113,0.5897,0.0000,0.0000,0.7407,other,lack of transient sounds; missing bass; ternary meter,1,0.0948,0.9987,0.0009,0.8449,0.2488,60,0.5183,5.8274,0.8265,0.2341,0.9259,0.0554,0.6044,0.0046,0.3507,0.1564,37,0.6026,6.1401,0.4117,0.1353,0.3508,,
smc_114,0.5970,0.4474,0.4474,0.4390,other,slow tempo; gradual tempo change; tempo discontinuity; lack of transient sounds; low familiarity,3,0.1326,0.9622,0.0498,0.4127,0.3133,52,0.7468,6.7066,0.5747,0.3125,0.6609,0.0789,0.7881,0.0377,0.2708,0.1595,39,0.3939,6.8348,0.2729,0.1724,0.3377,,
smc_116,0.2674,0.0075,0.0075,0.3168,total_failure,tempo incontinuity; gradual tempo change; rich ornamentation in the interpretation; pause; ternary meter,3,0.4188,0.8894,0.4332,0.3259,0.2429,195,0.4847,7.4543,0.5746,0.2073,0.6561,0.1174,0.7834,0.0578,0.2971,0.1937,87,0.3145,6.8334,0.3002,0.2010,0.3904,reasonable_but_misaligned,other
smc_117,0.6479,0.6389,0.6389,0.3824,other,expressive timing; missing bass; low familiarity with the song/style,3,0.1803,0.9750,0.1225,0.3933,0.2978,75,0.1983,7.1513,0.6207,0.2493,0.6828,0.0610,0.6498,0.0240,0.2371,0.1568,32,0.1946,6.6731,0.2793,0.1798,0.2814,,
smc_118,0.3077,0.1692,0.1034,0.3415,other,strong syncopation; tempo incontinuity; expressive timing,3,0.1636,0.9982,0.0580,0.5216,0.3702,89,0.2432,6.8113,0.4316,0.3599,0.8582,0.0648,0.7245,0.0133,0.3380,0.1954,41,0.1611,6.3977,0.2180,0.2047,0.3470,,
smc_119,0.3908,0.3273,0.3273,0.1500,other,expressive timing; beat phase ambiguity; strong syncopation; ternary meter,2,0.1034,0.9994,0.0014,0.7836,0.2911,69,0.3047,5.8915,0.5136,0.4390,0.8896,0.0902,0.8276,0.0153,0.3726,0.2210,68,0.4131,6.4043,0.2831,0.2418,0.4794,,
smc_120,0.9720,0.9815,0.9815,0.9907,good,lack of transient sounds,1,0.0846,0.9998,0.0001,0.9689,0.1362,60,0.6989,5.6105,0.9413,0.1783,0.9887,0.0793,0.8736,0.0001,0.5853,0.1862,58,0.8877,5.9308,0.6244,0.1324,0.1674,,
smc_121,0.3200,0.3846,0.3333,0.5641,other,slow tempo; expressive timing; lack of transient sounds; missing bass,2,0.1044,0.9589,0.0127,0.5545,0.3116,41,0.4146,6.4372,0.6309,0.2489,0.7548,0.0406,0.5458,0.0129,0.1986,0.1238,11,0.3030,6.5261,0.1993,0.1289,0.2756,,
smc_124,0.4935,0.9231,0.9231,0.5867,octave_error,quiet accompaniment; slow tempo; pauses; lack of transient sounds; lack of harmonic change,3,0.1310,0.9852,0.0036,0.8327,0.1956,44,0.8231,6.2749,0.6497,0.2788,0.8635,0.0539,0.4335,0.0278,0.2092,0.1066,10,0.5653,6.8234,0.1723,0.1093,0.1808,,
smc_126,0.9474,0.9737,0.9737,0.6053,other,quiet accompaniment; missing bass,1,0.0873,0.9981,0.0000,0.9080,0.2000,45,0.8328,5.6424,0.8295,0.3037,0.8822,0.0572,0.5096,0.0319,0.1971,0.1141,15,0.5224,6.9212,0.1805,0.1025,0.2805,,
smc_127,0.4923,0.2295,0.1471,0.4416,other,tempo discontinuity; expressive timing; pauses; rich ornamentation in the interpretation,3,0.1155,0.9922,0.0177,0.4972,0.3385,61,0.3152,6.4466,0.5371,0.3383,0.8059,0.0642,0.6822,0.0164,0.2896,0.1661,42,0.1180,6.5137,0.3796,0.1641,0.2356,,
smc_130,0.4225,0.1522,0.1522,0.4262,other,slow tempo; expressive timing; missing bass; low familiarity with the song/style; ambiguity of metrical level,2,0.1128,0.9929,0.0210,0.4793,0.3447,66,0.2188,6.4924,0.6237,0.3588,0.7499,0.0706,0.7063,0.0249,0.2802,0.1745,42,0.1183,6.6624,0.3857,0.1729,0.3390,,
smc_133,0.7895,0.9737,0.9737,0.7105,other,quiet accompaniment; slow tempo; expressive timing; poor sound quality; lack of transient sounds; excerpt is the introduction of the song; ternary meter,2,0.0886,0.9996,0.0004,0.9534,0.1821,44,0.6977,5.5656,0.8299,0.3458,0.9915,0.0728,0.7331,0.0197,0.3205,0.1797,49,0.5282,6.5348,0.3829,0.1915,0.3563,,
smc_135,0.8409,0.6739,0.6739,0.6588,other,slow tempo; changing time signature; gradual tempo change; expressive timing; pauses,3,0.1413,0.9996,0.0199,0.7340,0.3355,50,0.4688,6.4853,0.7393,0.3288,0.7412,0.0718,0.7769,0.0237,0.3241,0.2289,40,0.4635,6.5196,0.3886,0.2475,0.2181,,
smc_137,0.8364,0.6667,0.6667,0.5234,other,gradual tempo change; lack of transient sounds; missing bass; wide dynamic range; excerpt is the introduction of a song; ternary meter,2,0.2271,0.9998,0.0809,0.7243,0.3412,104,0.3598,6.8692,0.8768,0.2095,0.7711,0.0646,0.7817,0.0167,0.3212,0.1854,37,0.4726,6.4955,0.2326,0.2196,0.2429,,
smc_139,0.5070,0.8125,0.0417,0.1190,octave_error,none,1,0.1577,0.9986,0.0449,0.5160,0.3742,77,0.7672,6.6913,0.7018,0.2970,0.8376,0.1102,0.8494,0.0552,0.2887,0.1922,99,0.2300,6.8342,0.3285,0.1849,0.4023,,
smc_140,0.6491,0.5500,0.5500,0.6727,other,changing time signature; tempo incontinuity; expressive timing; poor sound quality; lack of transient sounds,2,0.2418,0.9404,0.1478,0.4859,0.3052,82,0.5966,7.1586,0.6190,0.2319,0.7121,0.0877,0.8304,0.0313,0.2881,0.1921,59,0.4885,6.6370,0.3415,0.2047,0.3859,,
smc_142,0.6133,0.4884,0.4884,0.7000,other,gradual tempo change; tempo incontinuity; expressive timing; lack of transient sounds; missing bass,2,0.1193,0.9951,0.0148,0.6477,0.3326,41,0.4942,6.4503,0.5093,0.3631,0.8718,0.0535,0.6642,0.0058,0.3310,0.1830,34,0.4475,6.1858,0.2938,0.1814,0.3593,,
smc_143,0.5385,0.8462,0.8462,0.6019,octave_error,quiet accompaniment,2,0.1807,0.9969,0.0011,0.9349,0.1578,60,0.9306,6.2801,0.7831,0.2838,0.9440,0.0746,0.8324,0.0081,0.3654,0.2194,59,0.6874,6.2518,0.3546,0.2313,0.4718,,
smc_146,0.6769,0.8485,0.8485,0.4242,other,slow tempo; expressive timing; lack of transient sounds; missing bass; changing time signature,1,0.1223,0.9708,0.0032,0.8500,0.1955,38,0.7432,6.1974,0.7491,0.2675,0.9099,0.0459,0.4806,0.0112,0.2603,0.0902,9,0.6934,6.4703,0.1941,0.1172,0.2183,,
smc_147,0.7050,0.3827,0.3827,0.3542,other,lack of transient sounds; expressive timing; missing bass; ternary meter,2,0.1291,0.9996,0.0016,0.8254,0.2707,97,0.6842,6.0425,0.7469,0.3361,0.9030,0.0819,0.6627,0.0261,0.3148,0.1625,42,0.6399,6.6382,0.2456,0.1949,0.3438,,
smc_148,0.1404,0.1190,0.0000,0.3441,total_failure,pauses; acapella,2,0.1105,0.8613,0.0604,0.2348,0.1910,39,0.5391,7.1270,0.1612,0.1770,0.6512,0.0626,0.7176,0.0295,0.2247,0.1450,27,0.2292,6.8064,0.1836,0.1628,0.2485,wrong_peaks,wrong_peaks
smc_149,0.4161,0.3396,0.0000,0.4494,other,expressive timing; pauses; poor sound quality; wide dynamic range; low familiarity; rich ornamentation in the interpretation,4,0.3048,0.9992,0.1597,0.6668,0.3572,136,0.5928,7.0497,0.7153,0.3459,0.9074,0.0910,0.8349,0.0418,0.3024,0.1875,57,0.2827,6.7768,0.3301,0.2085,0.3696,,
smc_150,0.9697,0.9118,0.9118,0.9231,good,expressive timing; lack of transient sounds; missing bass; ternary meter,1,0.1138,0.9997,0.0006,0.9378,0.2011,76,0.7669,5.9006,0.9822,0.0600,0.8730,0.0868,0.7171,0.0369,0.2947,0.1710,55,0.5264,6.7473,0.3752,0.1663,0.2152,,
smc_151,0.6984,0.3117,0.3117,0.4706,other,tempo incontinuity; ternary meter; beat phase ambiguity,3,0.1080,0.9973,0.0111,0.6210,0.3217,70,0.3054,6.3032,0.5520,0.3542,0.8708,0.0829,0.6805,0.0302,0.2813,0.1727,53,0.4200,6.6545,0.3013,0.1867,0.2902,,
smc_152,0.5000,0.0000,0.0000,0.5979,other,expressive timing; missing bass,1,0.0480,0.9974,0.0001,0.5966,0.3647,35,0.1781,5.0742,0.3328,0.4571,0.5522,0.0746,0.7395,0.0295,0.2791,0.1646,50,0.0724,6.7150,0.3380,0.1762,0.2529,,
smc_153,0.3130,0.5000,0.1667,0.6545,other,none,1,0.0688,0.9941,0.0015,0.6508,0.2636,77,0.6027,5.7752,0.3079,0.3459,0.8001,0.1048,0.8046,0.0114,0.4614,0.2109,82,0.8151,6.3430,0.5787,0.1706,0.3796,,
smc_154,0.4444,0.1562,0.1562,0.4561,other,slow tempo; expressive timing; lack of transient sounds; strong syncopation; ternary meter; missing bass,2,0.1581,0.9587,0.0762,0.4110,0.3186,54,0.2290,6.9951,0.4967,0.3512,0.7560,0.0429,0.5098,0.0102,0.2317,0.1062,15,0.1859,6.4584,0.1889,0.1369,0.2499,,
smc_157,0.6591,0.9091,0.9091,0.7045,other,quiet accompaniment; slow tempo; lack of transient sounds; missing bass,1,0.1212,0.9995,0.0008,0.8659,0.2783,53,0.8487,6.0210,0.7227,0.3600,0.9727,0.0739,0.9050,0.0049,0.4465,0.2214,49,0.8306,6.1361,0.4480,0.2151,0.5873,,
smc_158,0.2182,0.0889,0.0312,0.2623,total_failure,slow tempo; changing time signature; expressive timing; missing bass,3,0.1069,0.9844,0.0356,0.4297,0.2941,62,0.1716,6.7717,0.4445,0.2817,0.7019,0.0669,0.7201,0.0247,0.2899,0.1861,37,0.2866,6.6319,0.2361,0.2048,0.3360,ambiguous_peaks,wrong_peaks
smc_159,0.4444,1.0000,0.0000,0.5185,octave_error,gradual tempo change; expressive timing; lack of transient sounds; missing bass,1,0.1165,0.9919,0.0118,0.6201,0.3443,37,0.5700,6.3264,0.4634,0.3518,0.8861,0.0561,0.6612,0.0099,0.2772,0.1346,26,0.4461,6.4034,0.2210,0.1465,0.2434,,
smc_161,0.6957,0.9429,0.9429,0.6571,other,slow tempo; expressive timing; lack of transient sounds; missing bass,1,0.0856,0.9971,0.0001,0.9110,0.2099,41,0.6585,5.6782,0.6824,0.3732,0.9722,0.0740,0.7473,0.0074,0.3729,0.1912,44,0.7600,6.2569,0.4077,0.1754,0.4972,,
smc_166,0.8478,1.0000,1.0000,0.9348,good,quiet accompaniment; expressive timing; ternary meter,1,0.0943,0.9998,0.0000,0.9944,0.0166,52,0.6614,5.6405,0.9115,0.2359,0.9815,0.0741,0.8164,0.0009,0.5223,0.2081,56,0.7847,5.9497,0.5889,0.1522,0.5658,,
smc_167,0.5333,0.7083,0.7083,0.3529,other,slow tempo; gradual tempo change; tempo discontinuity; expressive timing; pauses; missing bass; excerpt is the introduction of the song; ternary meter; ambiguity of metrical level,4,0.0648,0.9864,0.0012,0.5919,0.3367,35,0.2930,5.7421,0.5675,0.3721,0.7926,0.0634,0.7367,0.0137,0.3163,0.1973,32,0.3001,6.4194,0.3302,0.1885,0.4154,,
smc_168,0.3000,0.6098,0.0244,0.3214,octave_error,slow tempo; expressive timing; lack of transient sounds; missing bass; ternary meter,1,0.1705,0.9561,0.0668,0.6358,0.2688,48,0.5550,6.8984,0.5154,0.2832,0.7451,0.0527,0.4837,0.0251,0.2050,0.0890,7,0.3970,6.8079,0.1773,0.0953,0.2076,,
smc_169,0.5616,0.1649,0.1649,0.4412,other,gradual tempo change; expressive timing; tempo incontinuity; ternary meter; missing bass,2,0.1789,0.9894,0.0899,0.4031,0.3381,85,0.2371,6.9932,0.4483,0.3551,0.6537,0.0841,0.7942,0.0292,0.3010,0.2064,48,0.1107,6.6499,0.2868,0.2292,0.2812,,
smc_170,0.8372,1.0000,1.0000,0.9302,good,quiet accompaniment; poor sound quality; lack of transient sounds; ternary meter,1,0.0991,0.9991,0.0000,0.9316,0.1818,51,0.7866,5.7051,0.8724,0.2379,0.9510,0.0772,0.7866,0.0004,0.5540,0.1882,51,0.8674,5.9011,0.5901,0.1322,0.5474,,
smc_171,0.4946,0.8254,0.0000,0.5435,octave_error,none,1,0.1671,0.9964,0.0400,0.6827,0.3270,74,0.8671,6.6762,0.7259,0.2693,0.8554,0.1314,0.9261,0.0135,0.4981,0.2645,102,0.7727,6.4042,0.6251,0.2048,0.6636,,
smc_172,0.5000,0.1806,0.1806,0.3095,other,tempo incontinuity; gradual tempo change; rich ornamentation in the interpretation,2,0.2408,0.9994,0.1915,0.3372,0.3065,148,0.5624,7.1240,0.6499,0.2615,0.6580,0.0727,0.8119,0.0356,0.2265,0.1847,36,0.4971,6.7109,0.2962,0.2362,0.2889,,
smc_173,0.5946,0.9200,0.0000,0.5833,octave_error,strong syncopation; ambiguity of metrical level; low familiarity with the song/style,2,0.1758,0.9927,0.0161,0.8441,0.2522,61,0.8703,6.4962,0.9250,0.1038,0.8964,0.0752,0.8569,0.0028,0.4642,0.1938,62,0.8593,6.0736,0.5300,0.1567,0.5310,,
smc_174,0.2800,0.1852,0.1852,0.2970,total_failure,expressive timing; pauses; low familiarity; rich ornamentation in the interpretation,4,0.1935,0.9830,0.1088,0.3814,0.3055,113,0.3479,7.0521,0.4074,0.2848,0.7642,0.0846,0.7199,0.0416,0.2422,0.1724,53,0.1754,6.8105,0.2081,0.1858,0.3399,reasonable_but_misaligned,wrong_peaks
smc_175,0.2381,0.3333,0.3333,0.2500,other,slow tempo; quiet accompaniment; lack of transient sounds,1,0.1315,0.9380,0.0267,0.5268,0.2979,35,0.4847,6.6107,0.4487,0.3264,0.7441,0.0518,0.3696,0.0307,0.2104,0.0829,4,0.2713,6.9303,0.1581,0.0963,0.1938,,
smc_176,0.3429,0.0889,0.0889,0.2105,other,gradual tempo change; expressive timing; no repetition; lack of transient sounds; slow tempo; ternary meter,2,0.1577,0.9707,0.0752,0.4516,0.2925,43,0.2738,6.9455,0.3344,0.3150,0.6554,0.0398,0.4322,0.0228,0.1975,0.0972,5,0.1609,6.8827,0.1108,0.0991,0.1367,,
smc_178,0.8571,1.0000,1.0000,0.7619,other,none; ternary meter,1,0.0783,0.9677,0.0018,0.8329,0.2183,24,0.7203,5.9059,0.8448,0.1254,0.9322,0.0491,0.5711,0.0041,0.3158,0.1499,20,0.7222,6.1576,0.3470,0.1182,0.4339,,
smc_179,0.6038,0.4634,0.2188,0.4407,other,slow tempo; expressive timing; lack of transient sounds; missing bass,2,0.1225,0.9769,0.0219,0.5301,0.3230,52,0.3745,6.5864,0.7334,0.3283,0.6781,0.0443,0.6628,0.0068,0.2756,0.1505,19,0.4025,6.2591,0.2424,0.1567,0.2493,,
smc_181,0.3359,0.0000,0.0000,0.3676,other,pauses; poor sound quality; lack of transient sounds; excerpt is the introduction of the song; ternary meter; ambiguity of metrical level,2,0.1980,0.9998,0.0126,0.9313,0.1892,112,0.6779,6.4756,0.7714,0.3352,0.9595,0.1331,0.9030,0.0301,0.5198,0.1997,107,0.7198,6.5636,0.5061,0.2150,0.5040,,
smc_182,0.8193,0.9762,0.9762,0.7952,other,slow tempo; gradual tempo change; expressive timing,2,0.0861,0.9997,0.0001,0.8820,0.2638,47,0.6379,5.6007,0.8402,0.2844,0.9326,0.0666,0.8177,0.0010,0.5004,0.1946,46,0.8140,5.9194,0.4819,0.2337,0.3995,,
smc_184,0.8308,0.8824,0.8824,0.7536,other,slow tempo; expressive timing; lack of transient sounds; missing bass,1,0.1005,0.9858,0.0012,0.6561,0.3706,44,0.5061,6.2007,0.6953,0.3322,0.8911,0.0554,0.6160,0.0033,0.4224,0.1511,31,0.7047,6.0499,0.3844,0.1753,0.3028,,
smc_187,0.3396,0.3235,0.3235,0.1071,continuity_drift,slow tempo; gradual tempo change; expressive timing,1,0.1727,0.9330,0.0924,0.3542,0.2912,72,0.3339,7.0483,0.5922,0.2312,0.7128,0.0550,0.5779,0.0177,0.2716,0.1396,18,0.4229,6.6034,0.1478,0.1490,0.2686,,
smc_188,0.9091,0.8571,0.8571,1.0000,good,slow tempo; gradual tempo change; expressive timing; missing bass; ternary meter,1,0.0272,0.9981,0.0000,0.8269,0.2370,32,0.1665,4.6088,0.7092,0.3335,0.9075,0.0617,0.8154,0.0011,0.5078,0.2231,45,0.3941,5.8586,0.6664,0.0810,0.0000,,
smc_190,0.4819,0.3898,0.1321,0.2785,other,tempo incontinuity; lack of transient sounds; missing bass; ternary meter,2,0.1669,0.9953,0.0420,0.6183,0.3438,79,0.5692,6.7172,0.7872,0.3233,0.7993,0.0715,0.7971,0.0050,0.4402,0.2059,46,0.6560,6.1482,0.3721,0.2552,0.4293,,
smc_192,0.2857,0.4444,0.4444,0.1579,other,slow tempo; expressive timing; lack of transient sounds; missing bass; excerpt is the introduction of a song,2,0.1293,0.9428,0.0578,0.3440,0.2821,41,0.2900,6.9018,0.3079,0.3611,0.6841,0.0477,0.4746,0.0282,0.2214,0.1247,9,0.3843,6.8688,0.1341,0.1360,0.2082,,
smc_193,0.8706,0.8837,0.8837,0.8235,good,none,1,0.1402,0.9934,0.0018,0.8555,0.2381,48,0.8210,6.2370,0.8258,0.2802,0.8115,0.0775,0.7690,0.0253,0.2907,0.1899,49,0.6315,6.6093,0.4254,0.1683,0.3378,,
smc_194,0.2449,0.1176,0.0000,0.0769,total_failure,slow tempo; tempo incontinuity; lack of transient sounds; missing bass; lack of harmonic change; no repetition (melodic or rhythmic,3,0.2331,0.8415,0.2207,0.2396,0.1881,49,0.5035,7.4691,0.3400,0.2062,0.6071,0.0524,0.3177,0.0408,0.1567,0.0644,2,0.3049,7.1497,0.0816,0.0633,0.1392,other,flat_activations
smc_195,0.3544,0.3864,0.0000,0.3171,other,tempo discontinuity; expressive timing; pauses; low familiarity; ambiguity of metrical level; beat phase ambiguity,3,0.1708,0.9997,0.0726,0.3927,0.3355,106,0.5972,6.8406,0.4291,0.4673,0.7229,0.1046,0.8770,0.0501,0.3564,0.2496,62,0.6893,6.7366,0.5394,0.2347,0.3163,,
smc_197,0.4286,1.0000,1.0000,0.3810,octave_error,quiet accompaniment; slow tempo,2,0.0659,0.9840,0.0007,0.9201,0.1571,24,0.7345,5.5210,0.5599,0.3797,0.9476,0.0548,0.5464,0.0119,0.2760,0.1260,29,0.5610,6.4274,0.2564,0.1451,0.3596,,
smc_198,0.7227,0.5797,0.5797,0.7407,other,tempo discontinuity; expressive timing; pauses; poor sound quality; lack of transient sounds; excerpt is the introduction of the song,2,0.1783,0.9991,0.0239,0.8202,0.2943,84,0.6489,6.5366,0.8704,0.2136,0.9208,0.0821,0.7579,0.0103,0.4239,0.2062,61,0.5491,6.3161,0.4605,0.1804,0.4314,,
smc_199,0.3579,0.2364,0.2364,0.2927,other,expressive timing; lack of transient sounds; missing bass; low familiarity with the song/style; quiet accompaniment,3,0.1923,0.9757,0.1018,0.4739,0.3402,82,0.6857,6.9523,0.4881,0.3109,0.7767,0.0721,0.6612,0.0403,0.2047,0.1308,33,0.2246,6.8693,0.1996,0.1351,0.2649,,
smc_202,0.2188,0.2500,0.2500,0.1290,total_failure,quiet accompaniment; slow tempo; expressive timing; lack of transient sounds; wide dynamic range,3,0.1548,0.9410,0.0824,0.4115,0.2904,52,0.3823,7.0019,0.2219,0.2451,0.7311,0.0584,0.4074,0.0388,0.1574,0.0761,5,0.2342,7.0478,0.1006,0.0798,0.1841,wrong_peaks,flat_activations
smc_203,0.2500,0.0130,0.0000,0.2597,total_failure,changing time signature; strong syncopation; ambiguity of metrical level,3,0.1908,0.9977,0.0672,0.5297,0.3516,98,0.6714,6.8258,0.3540,0.3487,0.8291,0.0553,0.8163,0.0061,0.2883,0.1983,40,0.4719,6.1659,0.1805,0.1915,0.4145,other,wrong_peaks
smc_204,0.3063,0.1228,0.1228,0.4375,other,changing time signature; expressive timing; gradual tempo change; poor sound quality; missing bass; low familiarity with the song/style; excerpt is the introduction of a song; ternary meter,3,0.1950,0.9940,0.1140,0.5072,0.2999,86,0.2231,7.0704,0.4733,0.3131,0.7337,0.0760,0.6398,0.0372,0.2279,0.1571,38,0.2435,6.8191,0.2266,0.1749,0.3245,,
smc_205,0.8636,0.7826,0.7826,0.5481,other,pause; gradual tempo change; expressive timing,2,0.0950,0.9997,0.0011,0.7038,0.3475,69,0.6205,5.9210,0.8861,0.2345,0.7835,0.1097,0.8483,0.0250,0.3765,0.2348,86,0.8043,6.4949,0.4953,0.2012,0.4033,,
smc_206,0.6400,0.5122,0.5122,0.4211,other,expressive timing,1,0.1069,0.9883,0.0187,0.5653,0.3691,56,0.4097,6.4589,0.7138,0.3443,0.8159,0.0738,0.7444,0.0260,0.2950,0.1903,48,0.1821,6.6152,0.2742,0.1925,0.4027,,
smc_207,0.9552,1.0000,1.0000,0.5000,other,expressive timing; strong syncopation,2,0.1436,0.9998,0.0001,0.9823,0.1064,77,0.8026,5.9782,0.9562,0.1424,0.9991,0.0673,0.7661,0.0058,0.4126,0.2240,46,0.3338,6.1190,0.3479,0.2549,0.3898,,
smc_208,0.8125,0.8788,0.8788,0.6032,other,expressive timing; lack of transient sounds; ternary meter; missing bass,2,0.1130,0.9905,0.0061,0.6453,0.3672,45,0.6559,6.2040,0.8012,0.2602,0.9187,0.0625,0.6881,0.0032,0.3561,0.1620,35,0.6372,6.2200,0.3424,0.1466,0.3393,,
smc_209,0.6420,0.8537,0.8537,0.5679,other,slow tempo; expressive timing; lack of transient sounds; ternary meter; missing bass,2,0.1368,0.9918,0.0031,0.7784,0.2607,48,0.5886,6.3273,0.6572,0.3106,0.8403,0.0431,0.6195,0.0035,0.3297,0.1480,23,0.6466,6.1017,0.2535,0.1760,0.2185,,
smc_211,0.5647,0.6327,0.6327,0.3956,other,slow tempo; expressive timing; quiet accompaniment,2,0.1422,0.9975,0.0386,0.6615,0.3506,54,0.7997,6.6104,0.5890,0.3426,0.8771,0.0639,0.7748,0.0151,0.3495,0.2343,36,0.7631,6.3478,0.2796,0.2476,0.3239,,
smc_212,0.4783,0.5000,0.5000,0.1754,continuity_drift,gradual tempo change; lack of transient sounds; ternary meter; missing bass,1,0.1870,0.9352,0.1415,0.3577,0.2738,47,0.3115,7.2413,0.4756,0.2507,0.7252,0.0579,0.4192,0.0345,0.2036,0.0903,12,0.3012,6.9627,0.1784,0.1086,0.1658,,
smc_213,0.5278,0.7105,0.7105,0.5526,continuity_drift,slow tempo; lack of transient sounds; gradual tempo change,2,0.1037,0.9866,0.0036,0.7957,0.2342,44,0.4460,6.1588,0.5930,0.3665,0.8459,0.0625,0.5662,0.0100,0.3026,0.1384,34,0.5295,6.4121,0.2495,0.1597,0.3565,,
smc_214,0.4783,0.5417,0.5417,0.2333,continuity_drift,slow tempo; expressive timing; lack of transient sounds; missing bass,2,0.1121,0.9770,0.0211,0.6405,0.3328,30,0.6652,6.4909,0.4667,0.3614,0.8238,0.0542,0.2717,0.0373,0.1508,0.0508,0,0.4053,7.0991,0.1043,0.0631,0.1439,,
smc_215,0.8788,0.8788,0.8788,0.3182,other,quiet accompaniment; expressive timing; wide dynamic range; ternary meter; rich ornamentation in the interpretation,2,0.0860,0.9963,0.0004,0.5991,0.3617,64,0.3616,5.7014,0.8547,0.2621,0.8216,0.0891,0.6699,0.0446,0.2601,0.1606,55,0.2208,6.8671,0.3497,0.1685,0.3095,,
smc_216,0.7324,0.8333,0.8333,0.6944,other,slow tempo; expressive timing; poor sound quality; lack of transient sounds; missing bass,2,0.1617,0.9766,0.0583,0.5299,0.3287,51,0.6458,6.8205,0.7022,0.2347,0.6723,0.0585,0.5487,0.0231,0.2645,0.1294,20,0.5797,6.7199,0.2781,0.1270,0.2739,,
smc_217,0.7742,1.0000,1.0000,0.8387,other,slow tempo; expressive timing; lack of transient sounds; missing bass,1,0.1177,0.9846,0.0005,0.9241,0.0555,35,0.7504,6.0566,0.8668,0.1409,0.9000,0.0496,0.6592,0.0025,0.3825,0.1529,26,0.6395,5.9953,0.3699,0.1850,0.2976,,
smc_219,0.8077,0.7636,0.7636,0.4615,other,expressive timing; lack of transient sounds; missing bass; ternary meter,1,0.2135,0.9575,0.0982,0.4786,0.3150,92,0.5428,6.9749,0.7109,0.1999,0.6807,0.0765,0.6979,0.0311,0.2844,0.1656,45,0.2466,6.7382,0.3234,0.1865,0.2548,,
smc_220,0.7835,0.5455,0.5455,0.8095,other,quiet accompaniment; rich ornamentation in the interpretation; ternary meter,1,0.1548,0.9998,0.0292,0.5889,0.3710,88,0.5965,6.5533,0.9157,0.2094,0.7637,0.0788,0.6488,0.0242,0.2975,0.1689,57,0.4719,6.6264,0.3653,0.1581,0.4209,,
smc_221,0.4918,0.5161,0.5161,0.1096,continuity_drift,slow tempo; gradual tempo change; expressive timing; poor sound quality; lack of transient sounds; missing bass; low familiarity with the song/style; excerpt is the introduction of a song,3,0.1193,0.9923,0.0341,0.4794,0.3493,49,0.4592,6.6255,0.5195,0.3672,0.7730,0.0610,0.5710,0.0329,0.1946,0.1194,22,0.1796,6.8721,0.1668,0.1323,0.2285,,
smc_222,0.5625,0.4615,0.4615,0.3273,other,slow tempo; low familiarity with the song/style; ternary meter; expressive timing,2,0.1873,0.9551,0.0807,0.4888,0.3243,59,0.4885,6.9105,0.7700,0.1684,0.7466,0.0498,0.5730,0.0188,0.2134,0.1345,19,0.2025,6.6374,0.2145,0.1841,0.2194,,
